date,y,m,d,meas,kvfb,zone
2020-01-26,2020,1,26,2085.79,KPFB,eas
2020-01-26,2020,1,26,2572.47,KPFB,wsu
2020-01-27,2020,1,27,836.0,KNFB,eas
2020-01-27,2020,1,27,1733.03,KNFB,wsu
2020-01-27,2020,1,27,2107.45,KPFB,eas
2020-01-27,2020,1,27,2587.94,KPFB,wsu
2020-01-28,2020,1,28,847.61,KNFB,eas
2020-01-28,2020,1,28,1730.15,KNFB,wsu
2020-01-28,2020,1,28,2120.58,KPFB,eas
2020-01-28,2020,1,28,2616.78,KPFB,wsu
2020-01-29,2020,1,29,851.23,KNFB,eas
2020-01-29,2020,1,29,1707.82,KNFB,wsu
2020-01-29,2020,1,29,2135.02,KPFB,eas
2020-01-29,2020,1,29,2580.71,KPFB,wsu
2020-01-30,2020,1,30,833.66,KNFB,eas
2020-01-30,2020,1,30,1758.08,KNFB,wsu
2020-01-30,2020,1,30,2154.45,KPFB,eas
2020-01-30,2020,1,30,2634.58,KPFB,wsu
2020-01-31,2020,1,31,853.69,KNFB,eas
2020-01-31,2020,1,31,1747.3,KNFB,wsu
2020-01-31,2020,1,31,2098.54,KPFB,eas
2020-01-31,2020,1,31,2539.2,KPFB,wsu
2020-02-01,2020,2,1,839.78,KNFB,eas
2020-02-01,2020,2,1,1745.21,KNFB,wsu
2020-02-01,2020,2,1,2092.19,KPFB,eas
2020-02-01,2020,2,1,2583.1,KPFB,wsu
2020-02-02,2020,2,2,837.92,KNFB,eas
2020-02-02,2020,2,2,1720.8,KNFB,wsu
2020-02-02,2020,2,2,2163.27,KPFB,eas
2020-02-02,2020,2,2,2590.69,KPFB,wsu
2020-02-03,2020,2,3,869.86,KNFB,eas
2020-02-03,2020,2,3,1751.28,KNFB,wsu
2020-02-03,2020,2,3,2090.5,KPFB,eas
2020-02-03,2020,2,3,2600.41,KPFB,wsu
2020-02-04,2020,2,4,872.22,KNFB,eas
2020-02-04,2020,2,4,1759.21,KNFB,wsu
2020-02-04,2020,2,4,2121.86,KPFB,eas
2020-02-04,2020,2,4,2562.64,KPFB,wsu
2020-02-05,2020,2,5,868.62,KNFB,eas
2020-02-05,2020,2,5,1794.8,KNFB,wsu
2020-02-05,2020,2,5,2130.85,KPFB,eas
2020-02-05,2020,2,5,2577.2,KPFB,wsu
2020-02-06,2020,2,6,853.07,KNFB,eas
2020-02-06,2020,2,6,1779.31,KNFB,wsu
2020-02-06,2020,2,6,2127.0,KPFB,eas
2020-02-06,2020,2,6,2630.22,KPFB,wsu
2020-02-07,2020,2,7,847.69,KNFB,eas
2020-02-07,2020,2,7,1774.47,KNFB,wsu
2020-02-07,2020,2,7,2088.22,KPFB,eas
2020-02-07,2020,2,7,2566.16,KPFB,wsu
2020-02-08,2020,2,8,869.67,KNFB,eas
2020-02-08,2020,2,8,1824.14,KNFB,wsu
2020-02-08,2020,2,8,2085.65,KPFB,eas
2020-02-08,2020,2,8,2635.18,KPFB,wsu
2020-02-09,2020,2,9,863.0,KNFB,eas
2020-02-09,2020,2,9,1769.02,KNFB,wsu
2020-02-09,2020,2,9,2089.67,KPFB,eas
2020-02-09,2020,2,9,2611.01,KPFB,wsu
2020-02-10,2020,2,10,853.72,KNFB,eas
2020-02-10,2020,2,10,1798.41,KNFB,wsu
2020-02-10,2020,2,10,2130.34,KPFB,eas
2020-02-10,2020,2,10,2635.14,KPFB,wsu
2020-02-11,2020,2,11,868.42,KNFB,eas
2020-02-11,2020,2,11,1777.82,KNFB,wsu
2020-02-11,2020,2,11,2126.73,KPFB,eas
2020-02-11,2020,2,11,2633.41,KPFB,wsu
2020-02-12,2020,2,12,854.14,KNFB,eas
2020-02-12,2020,2,12,1835.45,KNFB,wsu
2020-02-12,2020,2,12,2100.25,KPFB,eas
2020-02-12,2020,2,12,2583.83,KPFB,wsu
2020-02-13,2020,2,13,886.38,KNFB,eas
2020-02-13,2020,2,13,1855.52,KNFB,wsu
2020-02-13,2020,2,13,2134.46,KPFB,eas
2020-02-13,2020,2,13,2624.93,KPFB,wsu
2020-02-14,2020,2,14,865.43,KNFB,eas
2020-02-14,2020,2,14,1815.88,KNFB,wsu
2020-02-14,2020,2,14,2149.83,KPFB,eas
2020-02-14,2020,2,14,2659.59,KPFB,wsu
2020-02-15,2020,2,15,881.31,KNFB,eas
2020-02-15,2020,2,15,1865.36,KNFB,wsu
2020-02-15,2020,2,15,2083.63,KPFB,eas
2020-02-15,2020,2,15,2617.22,KPFB,wsu
2020-02-16,2020,2,16,870.77,KNFB,eas
2020-02-16,2020,2,16,1830.66,KNFB,wsu
2020-02-16,2020,2,16,2122.29,KPFB,eas
2020-02-16,2020,2,16,2676.7,KPFB,wsu
2020-02-17,2020,2,17,879.84,KNFB,eas
2020-02-17,2020,2,17,1883.45,KNFB,wsu
2020-02-17,2020,2,17,2138.42,KPFB,eas
2020-02-17,2020,2,17,2625.94,KPFB,wsu
2020-02-18,2020,2,18,882.54,KNFB,eas
2020-02-18,2020,2,18,1878.89,KNFB,wsu
2020-02-18,2020,2,18,2101.22,KPFB,eas
2020-02-18,2020,2,18,2596.64,KPFB,wsu
2020-02-19,2020,2,19,871.53,KNFB,eas
2020-02-19,2020,2,19,1889.77,KNFB,wsu
2020-02-19,2020,2,19,2105.82,KPFB,eas
2020-02-19,2020,2,19,2625.92,KPFB,wsu
2020-02-20,2020,2,20,901.03,KNFB,eas
2020-02-20,2020,2,20,1837.87,KNFB,wsu
2020-02-20,2020,2,20,2131.68,KPFB,eas
2020-02-20,2020,2,20,2688.61,KPFB,wsu
2020-02-21,2020,2,21,895.93,KNFB,eas
2020-02-21,2020,2,21,1915.82,KNFB,wsu
2020-02-21,2020,2,21,2155.71,KPFB,eas
2020-02-21,2020,2,21,2625.14,KPFB,wsu
2020-02-22,2020,2,22,903.54,KNFB,eas
2020-02-22,2020,2,22,1905.12,KNFB,wsu
2020-02-22,2020,2,22,2148.13,KPFB,eas
2020-02-22,2020,2,22,2686.5,KPFB,wsu
2020-02-23,2020,2,23,903.74,KNFB,eas
2020-02-23,2020,2,23,1880.2,KNFB,wsu
2020-02-23,2020,2,23,2128.78,KPFB,eas
2020-02-23,2020,2,23,2691.25,KPFB,wsu
2020-02-24,2020,2,24,894.94,KNFB,eas
2020-02-24,2020,2,24,1927.06,KNFB,wsu
2020-02-24,2020,2,24,2141.16,KPFB,eas
2020-02-24,2020,2,24,2638.23,KPFB,wsu
2020-02-25,2020,2,25,908.28,KNFB,eas
2020-02-25,2020,2,25,1892.32,KNFB,wsu
2020-02-25,2020,2,25,2110.05,KPFB,eas
2020-02-25,2020,2,25,2613.15,KPFB,wsu
2020-02-26,2020,2,26,880.23,KNFB,eas
2020-02-26,2020,2,26,1944.57,KNFB,wsu
2020-02-26,2020,2,26,2133.38,KPFB,eas
2020-02-26,2020,2,26,2684.66,KPFB,wsu
2020-02-27,2020,2,27,885.82,KNFB,eas
2020-02-27,2020,2,27,1893.2,KNFB,wsu
2020-02-27,2020,2,27,2118.44,KPFB,eas
2020-02-27,2020,2,27,2643.98,KPFB,wsu
2020-02-28,2020,2,28,882.14,KNFB,eas
2020-02-28,2020,2,28,1945.72,KNFB,wsu
2020-02-28,2020,2,28,2094.9,KPFB,eas
2020-02-28,2020,2,28,2697.57,KPFB,wsu
2020-02-29,2020,2,29,893.95,KNFB,eas
2020-02-29,2020,2,29,1940.15,KNFB,wsu
2020-02-29,2020,2,29,2138.22,KPFB,eas
2020-02-29,2020,2,29,2664.56,KPFB,wsu
2020-03-01,2020,3,1,897.98,KNFB,eas
2020-03-01,2020,3,1,1912.63,KNFB,wsu
2020-03-01,2020,3,1,2125.79,KPFB,eas
2020-03-01,2020,3,1,2672.42,KPFB,wsu
2020-03-02,2020,3,2,897.04,KNFB,eas
2020-03-02,2020,3,2,1929.84,KNFB,wsu
2020-03-02,2020,3,2,2108.72,KPFB,eas
2020-03-02,2020,3,2,2701.74,KPFB,wsu
2020-03-03,2020,3,3,920.59,KNFB,eas
2020-03-03,2020,3,3,1917.79,KNFB,wsu
2020-03-03,2020,3,3,2155.31,KPFB,eas
2020-03-03,2020,3,3,2657.5,KPFB,wsu
2020-03-04,2020,3,4,906.74,KNFB,eas
2020-03-04,2020,3,4,1959.45,KNFB,wsu
2020-03-04,2020,3,4,2079.5,KPFB,eas
2020-03-04,2020,3,4,2662.03,KPFB,wsu
2020-03-05,2020,3,5,907.27,KNFB,eas
2020-03-05,2020,3,5,1952.23,KNFB,wsu
2020-03-05,2020,3,5,2104.22,KPFB,eas
2020-03-05,2020,3,5,2652.93,KPFB,wsu
2020-03-06,2020,3,6,920.18,KNFB,eas
2020-03-06,2020,3,6,1981.6,KNFB,wsu
2020-03-06,2020,3,6,2081.98,KPFB,eas
2020-03-06,2020,3,6,2650.02,KPFB,wsu
2020-03-07,2020,3,7,908.69,KNFB,eas
2020-03-07,2020,3,7,1963.75,KNFB,wsu
2020-03-07,2020,3,7,2141.85,KPFB,eas
2020-03-07,2020,3,7,2664.96,KPFB,wsu
2020-03-08,2020,3,8,936.44,KNFB,eas
2020-03-08,2020,3,8,1969.88,KNFB,wsu
2020-03-08,2020,3,8,2136.1,KPFB,eas
2020-03-08,2020,3,8,2693.08,KPFB,wsu
2020-03-09,2020,3,9,912.78,KNFB,eas
2020-03-09,2020,3,9,2011.12,KNFB,wsu
2020-03-09,2020,3,9,2104.39,KPFB,eas
2020-03-09,2020,3,9,2643.56,KPFB,wsu
2020-03-10,2020,3,10,950.05,KNFB,eas
2020-03-10,2020,3,10,1961.6,KNFB,wsu
2020-03-10,2020,3,10,2133.27,KPFB,eas
2020-03-10,2020,3,10,2658.87,KPFB,wsu
2020-03-11,2020,3,11,945.41,KNFB,eas
2020-03-11,2020,3,11,2035.97,KNFB,wsu
2020-03-11,2020,3,11,2109.28,KPFB,eas
2020-03-11,2020,3,11,2672.45,KPFB,wsu
2020-03-12,2020,3,12,927.24,KNFB,eas
2020-03-12,2020,3,12,2037.96,KNFB,wsu
2020-03-12,2020,3,12,2139.51,KPFB,eas
2020-03-12,2020,3,12,2627.89,KPFB,wsu
2020-03-13,2020,3,13,923.24,KNFB,eas
2020-03-13,2020,3,13,2029.14,KNFB,wsu
2020-03-13,2020,3,13,2113.64,KPFB,eas
2020-03-13,2020,3,13,2626.8,KPFB,wsu
2020-03-14,2020,3,14,957.12,KNFB,eas
2020-03-14,2020,3,14,2029.12,KNFB,wsu
2020-03-14,2020,3,14,2109.8,KPFB,eas
2020-03-14,2020,3,14,2694.33,KPFB,wsu
2020-03-15,2020,3,15,956.36,KNFB,eas
2020-03-15,2020,3,15,2059.36,KNFB,wsu
2020-03-15,2020,3,15,2153.75,KPFB,eas
2020-03-15,2020,3,15,2670.11,KPFB,wsu
2020-03-16,2020,3,16,960.56,KNFB,eas
2020-03-16,2020,3,16,2007.92,KNFB,wsu
2020-03-16,2020,3,16,2095.55,KPFB,eas
2020-03-16,2020,3,16,2652.65,KPFB,wsu
2020-03-17,2020,3,17,965.53,KNFB,eas
2020-03-17,2020,3,17,2005.14,KNFB,wsu
2020-03-17,2020,3,17,2084.22,KPFB,eas
2020-03-17,2020,3,17,2658.13,KPFB,wsu
2020-03-18,2020,3,18,942.15,KNFB,eas
2020-03-18,2020,3,18,2024.14,KNFB,wsu
2020-03-18,2020,3,18,2123.22,KPFB,eas
2020-03-18,2020,3,18,2590.83,KPFB,wsu
2020-03-19,2020,3,19,956.36,KNFB,eas
2020-03-19,2020,3,19,2075.59,KNFB,wsu
2020-03-19,2020,3,19,2155.49,KPFB,eas
2020-03-19,2020,3,19,2651.05,KPFB,wsu
2020-03-20,2020,3,20,950.3,KNFB,eas
2020-03-20,2020,3,20,2019.09,KNFB,wsu
2020-03-20,2020,3,20,2105.15,KPFB,eas
2020-03-20,2020,3,20,2637.62,KPFB,wsu
2020-03-21,2020,3,21,982.52,KNFB,eas
2020-03-21,2020,3,21,2070.19,KNFB,wsu
2020-03-21,2020,3,21,2078.14,KPFB,eas
2020-03-21,2020,3,21,2639.47,KPFB,wsu
2020-03-22,2020,3,22,976.57,KNFB,eas
2020-03-22,2020,3,22,2110.33,KNFB,wsu
2020-03-22,2020,3,22,2101.31,KPFB,eas
2020-03-22,2020,3,22,2617.87,KPFB,wsu
2020-03-23,2020,3,23,968.5,KNFB,eas
2020-03-23,2020,3,23,2104.82,KNFB,wsu
2020-03-23,2020,3,23,2115.11,KPFB,eas
2020-03-23,2020,3,23,2586.67,KPFB,wsu
2020-03-24,2020,3,24,961.34,KNFB,eas
2020-03-24,2020,3,24,2083.04,KNFB,wsu
2020-03-24,2020,3,24,2085.73,KPFB,eas
2020-03-24,2020,3,24,2596.5,KPFB,wsu
2020-03-25,2020,3,25,974.32,KNFB,eas
2020-03-25,2020,3,25,2050.79,KNFB,wsu
2020-03-25,2020,3,25,2127.4,KPFB,eas
2020-03-25,2020,3,25,2674.13,KPFB,wsu
2020-03-26,2020,3,26,978.18,KNFB,eas
2020-03-26,2020,3,26,2120.94,KNFB,wsu
2020-03-26,2020,3,26,2155.83,KPFB,eas
2020-03-26,2020,3,26,2615.22,KPFB,wsu
2020-03-27,2020,3,27,997.46,KNFB,eas
2020-03-27,2020,3,27,2107.47,KNFB,wsu
2020-03-27,2020,3,27,2109.37,KPFB,eas
2020-03-27,2020,3,27,2619.34,KPFB,wsu
2020-03-28,2020,3,28,997.17,KNFB,eas
2020-03-28,2020,3,28,2072.7,KNFB,wsu
2020-03-28,2020,3,28,2100.88,KPFB,eas
2020-03-28,2020,3,28,2573.98,KPFB,wsu
2020-03-29,2020,3,29,1010.44,KNFB,eas
2020-03-29,2020,3,29,2076.8,KNFB,wsu
2020-03-29,2020,3,29,2104.48,KPFB,eas
2020-03-29,2020,3,29,2570.46,KPFB,wsu
2020-03-30,2020,3,30,997.25,KNFB,eas
2020-03-30,2020,3,30,2151.75,KNFB,wsu
2020-03-30,2020,3,30,2080.06,KPFB,eas
2020-03-30,2020,3,30,2639.67,KPFB,wsu
2020-03-31,2020,3,31,986.44,KNFB,eas
2020-03-31,2020,3,31,2137.4,KNFB,wsu
2020-03-31,2020,3,31,2144.67,KPFB,eas
2020-03-31,2020,3,31,2618.95,KPFB,wsu
2020-04-01,2020,4,1,1013.57,KNFB,eas
2020-04-01,2020,4,1,2157.04,KNFB,wsu
2020-04-01,2020,4,1,2104.8,KPFB,eas
2020-04-01,2020,4,1,2613.91,KPFB,wsu
2020-04-02,2020,4,2,1017.57,KNFB,eas
2020-04-02,2020,4,2,2165.94,KNFB,wsu
2020-04-02,2020,4,2,2101.02,KPFB,eas
2020-04-02,2020,4,2,2582.62,KPFB,wsu
2020-04-03,2020,4,3,1011.61,KNFB,eas
2020-04-03,2020,4,3,2144.34,KNFB,wsu
2020-04-03,2020,4,3,2122.54,KPFB,eas
2020-04-03,2020,4,3,2631.38,KPFB,wsu
2020-04-04,2020,4,4,1022.16,KNFB,eas
2020-04-04,2020,4,4,2144.3,KNFB,wsu
2020-04-04,2020,4,4,2102.71,KPFB,eas
2020-04-04,2020,4,4,2567.77,KPFB,wsu
2020-04-05,2020,4,5,1013.02,KNFB,eas
2020-04-05,2020,4,5,2141.42,KNFB,wsu
2020-04-05,2020,4,5,2118.62,KPFB,eas
2020-04-05,2020,4,5,2566.5,KPFB,wsu
2020-04-06,2020,4,6,1016.26,KNFB,eas
2020-04-06,2020,4,6,2136.24,KNFB,wsu
2020-04-06,2020,4,6,2067.75,KPFB,eas
2020-04-06,2020,4,6,2591.09,KPFB,wsu
2020-04-07,2020,4,7,1014.45,KNFB,eas
2020-04-07,2020,4,7,2150.96,KNFB,wsu
2020-04-07,2020,4,7,2129.59,KPFB,eas
2020-04-07,2020,4,7,2569.44,KPFB,wsu
2020-04-08,2020,4,8,1000.11,KNFB,eas
2020-04-08,2020,4,8,2184.88,KNFB,wsu
2020-04-08,2020,4,8,2138.77,KPFB,eas
2020-04-08,2020,4,8,2561.89,KPFB,wsu
2020-04-09,2020,4,9,1005.51,KNFB,eas
2020-04-09,2020,4,9,2174.63,KNFB,wsu
2020-04-09,2020,4,9,2112.76,KPFB,eas
2020-04-09,2020,4,9,2599.48,KPFB,wsu
2020-04-10,2020,4,10,1004.41,KNFB,eas
2020-04-10,2020,4,10,2204.48,KNFB,wsu
2020-04-10,2020,4,10,2136.96,KPFB,eas
2020-04-10,2020,4,10,2596.49,KPFB,wsu
2020-04-11,2020,4,11,1031.26,KNFB,eas
2020-04-11,2020,4,11,2170.07,KNFB,wsu
2020-04-11,2020,4,11,2068.09,KPFB,eas
2020-04-11,2020,4,11,2610.79,KPFB,wsu
2020-04-12,2020,4,12,1020.1,KNFB,eas
2020-04-12,2020,4,12,2188.94,KNFB,wsu
2020-04-12,2020,4,12,2093.97,KPFB,eas
2020-04-12,2020,4,12,2565.29,KPFB,wsu
2020-04-13,2020,4,13,1030.15,KNFB,eas
2020-04-13,2020,4,13,2195.67,KNFB,wsu
2020-04-13,2020,4,13,2102.93,KPFB,eas
2020-04-13,2020,4,13,2526.31,KPFB,wsu
2020-04-14,2020,4,14,1048.69,KNFB,eas
2020-04-14,2020,4,14,2196.83,KNFB,wsu
2020-04-14,2020,4,14,2099.78,KPFB,eas
2020-04-14,2020,4,14,2543.4,KPFB,wsu
2020-04-15,2020,4,15,1023.56,KNFB,eas
2020-04-15,2020,4,15,2211.18,KNFB,wsu
2020-04-15,2020,4,15,2083.22,KPFB,eas
2020-04-15,2020,4,15,2612.28,KPFB,wsu
2020-04-16,2020,4,16,1032.29,KNFB,eas
2020-04-16,2020,4,16,2174.92,KNFB,wsu
2020-04-16,2020,4,16,2076.46,KPFB,eas
2020-04-16,2020,4,16,2569.35,KPFB,wsu
2020-04-17,2020,4,17,1048.68,KNFB,eas
2020-04-17,2020,4,17,2203.69,KNFB,wsu
2020-04-17,2020,4,17,2057.36,KPFB,eas
2020-04-17,2020,4,17,2577.38,KPFB,wsu
2020-04-18,2020,4,18,1028.85,KNFB,eas
2020-04-18,2020,4,18,2172.26,KNFB,wsu
2020-04-18,2020,4,18,2078.03,KPFB,eas
2020-04-18,2020,4,18,2502.07,KPFB,wsu
2020-04-19,2020,4,19,1024.57,KNFB,eas
2020-04-19,2020,4,19,2201.58,KNFB,wsu
2020-04-19,2020,4,19,2057.46,KPFB,eas
2020-04-19,2020,4,19,2550.66,KPFB,wsu
2020-04-20,2020,4,20,1035.48,KNFB,eas
2020-04-20,2020,4,20,2215.31,KNFB,wsu
2020-04-20,2020,4,20,2103.67,KPFB,eas
2020-04-20,2020,4,20,2498.15,KPFB,wsu
2020-04-21,2020,4,21,1032.15,KNFB,eas
2020-04-21,2020,4,21,2234.52,KNFB,wsu
2020-04-21,2020,4,21,2058.41,KPFB,eas
2020-04-21,2020,4,21,2548.71,KPFB,wsu
2020-04-22,2020,4,22,1066.42,KNFB,eas
2020-04-22,2020,4,22,2265.71,KNFB,wsu
2020-04-22,2020,4,22,2044.45,KPFB,eas
2020-04-22,2020,4,22,2580.82,KPFB,wsu
2020-04-23,2020,4,23,1063.41,KNFB,eas
2020-04-23,2020,4,23,2239.18,KNFB,wsu
2020-04-23,2020,4,23,2084.09,KPFB,eas
2020-04-23,2020,4,23,2582.02,KPFB,wsu
2020-04-24,2020,4,24,1058.15,KNFB,eas
2020-04-24,2020,4,24,2256.58,KNFB,wsu
2020-04-24,2020,4,24,2086.18,KPFB,eas
2020-04-24,2020,4,24,2535.07,KPFB,wsu
2020-04-25,2020,4,25,1070.27,KNFB,eas
2020-04-25,2020,4,25,2239.96,KNFB,wsu
2020-04-25,2020,4,25,2107.7,KPFB,eas
2020-04-25,2020,4,25,2523.17,KPFB,wsu
2020-04-26,2020,4,26,1069.5,KNFB,eas
2020-04-26,2020,4,26,2256.04,KNFB,wsu
2020-04-26,2020,4,26,2081.72,KPFB,eas
2020-04-26,2020,4,26,2568.76,KPFB,wsu
2020-04-27,2020,4,27,1045.46,KNFB,eas
2020-04-27,2020,4,27,2210.01,KNFB,wsu
2020-04-27,2020,4,27,2061.05,KPFB,eas
2020-04-27,2020,4,27,2537.77,KPFB,wsu
2020-04-28,2020,4,28,1077.46,KNFB,eas
2020-04-28,2020,4,28,2231.06,KNFB,wsu
2020-04-28,2020,4,28,2097.52,KPFB,eas
2020-04-28,2020,4,28,2472.9,KPFB,wsu
2020-04-29,2020,4,29,1064.54,KNFB,eas
2020-04-29,2020,4,29,2245.32,KNFB,wsu
2020-04-29,2020,4,29,2074.27,KPFB,eas
2020-04-29,2020,4,29,2509.69,KPFB,wsu
2020-04-30,2020,4,30,1078.03,KNFB,eas
2020-04-30,2020,4,30,2259.91,KNFB,wsu
2020-04-30,2020,4,30,2034.64,KPFB,eas
2020-04-30,2020,4,30,2483.49,KPFB,wsu
2020-05-01,2020,5,1,1083.91,KNFB,eas
2020-05-01,2020,5,1,2225.8,KNFB,wsu
2020-05-01,2020,5,1,2073.45,KPFB,eas
2020-05-01,2020,5,1,2502.97,KPFB,wsu
2020-05-02,2020,5,2,1060.74,KNFB,eas
2020-05-02,2020,5,2,2238.87,KNFB,wsu
2020-05-02,2020,5,2,2100.96,KPFB,eas
2020-05-02,2020,5,2,2499.99,KPFB,wsu
2020-05-03,2020,5,3,1053.34,KNFB,eas
2020-05-03,2020,5,3,2255.84,KNFB,wsu
2020-05-03,2020,5,3,2057.88,KPFB,eas
2020-05-03,2020,5,3,2511.13,KPFB,wsu
2020-05-04,2020,5,4,1059.89,KNFB,eas
2020-05-04,2020,5,4,2323.76,KNFB,wsu
2020-05-04,2020,5,4,2048.85,KPFB,eas
2020-05-04,2020,5,4,2487.02,KPFB,wsu
2020-05-05,2020,5,5,1069.94,KNFB,eas
2020-05-05,2020,5,5,2269.91,KNFB,wsu
2020-05-05,2020,5,5,2035.46,KPFB,eas
2020-05-05,2020,5,5,2466.24,KPFB,wsu
2020-05-06,2020,5,6,1088.25,KNFB,eas
2020-05-06,2020,5,6,2288.26,KNFB,wsu
2020-05-06,2020,5,6,2035.35,KPFB,eas
2020-05-06,2020,5,6,2498.63,KPFB,wsu
2020-05-07,2020,5,7,1091.62,KNFB,eas
2020-05-07,2020,5,7,2266.59,KNFB,wsu
2020-05-07,2020,5,7,2057.81,KPFB,eas
